bangla,chakma
"তোমার মা তোমার স্কুলের ব্যাপারে আসলেই অনেক চিন্তিত ছিল, বাবা।"," ত মামা ত ইস্কুুল অ  ব্যাপারে বজমান চিন্তিত এলহ,  পুত।"
স্যার গেট খুলুন !,"স্যার,দরজা আন হুল ।"
"এটা ভীষণ ঠাণ্ডা , সাঁতার কাটো রোস !",ইয়ান যদবদে ঈন।
আর কোটটা আমি তাকে দিয়ে দিয়েছি ।,আর সিলুম্মু মুই তারে দি এচ্চোং।
আমারা অনেক দেরি হয়ে গেছে ।,মিরে বজমান দিরি উয়ে।
আমি বাজি ধরতে পারি এমন জুতা পড়ে সারাদিন হাটলেও কিছু হবেনা।, মুই বাজি দুরি পারঙ ইক্কি জুতালোই দিন্নু আদিলিউ কিচ্ছু ন অব।
তুমি জানবেনা তুমি কি পাবে।,তুই হবর পেদে নয় তুই কি পেবে।
আমাদের এখান থেকে বের হতে হবে ।,আমার ইউত্তুন নিগিলা পুরিবু।
বাদিকে যাও!,বাঙেন্দি যা!
ওহ মাই গড ! নিজের দিকে তাকাও । তোমাকে আতঙ্কিত দেখাচ্ছে ।,"ওহ মর বুদ্ধো, নিজোর ইন্দি রেনি সা,তরে দোরেনেই আগজসি সান্নে লাগের ।"
আপনি কেন দৌড়াচ্ছেন? আপনি কি এটা পৃথিবীর শান্তির জন্য করছেন?,তুই হিত্তে দাবা দুর? তুই হি ইয়ান পিত্তিমি সুগত্তে গরত্তে?
"তারা কোথায় যাচ্ছে, তারা কোথায় ছিল।","তারা হুদু জাদন, তারা হুদু এলাক।"
"ঠিক আছে, সবাই ঠিক আছে ?","ঠিক আগে,বেক্কুনে ঠিক আগন?"
"নৌকাতে উঠুন, দয়াকরে ।","নৌকো আনত উদো,হুজুলি গরঙর ।"
"পেছনে থাকুন, আমি বলছি !","পিচ্চে থাগ,মুই হঙত্তে।"
আর তাড়াতাড়ি নৌকায় গিয়ে আশ্রয় নাও।,যাদিমাদি নৌকো আনত যোগোই।
সেখানে কোন দুঃখ থাকবে না কেউ কাঁদবে না সেখানে কেউ ব্যাথা পাবে না।,"সিয়ুত হন দুখ ন থেব,হেও ন হানিবাক,হেও পিরে ন পেবাক ।"
নাও এটা।,ইয়ান ল।
দৌড়াও!,দাবাদে।
ওটা আমার নৌকা।,উবান ম নৌয়ান।
"আর বাব্বা মরে গিয়েছিল এবং লেফটেন্যান্ট ড্যান বলেছিল আমি পাগল, আমি বাব্বার মাকেও টাকা দিলাম।","আর বাবা মরি যিয়ে আর লেফটেন্যান্ট ড্যান হুয়েদে মুই পাগল,মুই বাবা মাবুরেও টেংঙা দুং।"
কিন্ত আমার মনে হয় এটা তার নানুর কুকুরের জন্য।,মর মনে অত্তে ইয়ান তা নানু হুগুর বুত্তাই।
